	0	indexes	verdict
1	"[ 680 1262  362   38 1093  733  241   92 1155  770  897  886 1350  843
  815  622  629  510  436  992  641 1170  429  256  702 1003  478  779
  367 1179 1033  736  705  797  154 1082  679 1019  785   14 1302  155
  940 1181  524  662 1119  530  550  953 1141 1337 1277   79  411 1317
  616   18  543  666  979  258   44  695   26  996   73 1319  243  659
 1364  818  431 1375  398   15 1109  757  242 1226  991 1330 1197  724
  602  271  591    6 1007  728  276  850  522  403 1221  833   86  157
  741 1344]"		
0	198638.json		
1	"[1132 1161  696 1180  853 1144  182 1173  248 1338  959  291  992 1026
 1126  918  691  343  401  649  146   74  728  862 1035  814  698  463
  610 1101 1000  791  562  708 1065 1366 1159  454  925  224  859  203
  836  475  285 1136  126  723  879  930  489 1376 1232 1200 1022  269
  254  958  806  293  714  111 1367 1393 1220  874  437 1078  502 1046
 1356   37  121  545 1149  236  332  242  112  625  603   89  993 1246
  362 1339  795 1284 1153  767  361  635  744  637  345 1154  752  214
  358  280]"		
0	198639.json		
1	"[ 696  992  853 1132  343  182  562  918  728  959 1180   74  362 1161
  814  242  401  622  708 1144 1338  254  429  925 1026 1262  248 1035
  146  399 1101 1149  616 1078  285  291 1173 1065  679  463  930 1093
  859  806  649  723  610  236  958  126  791  691 1126  475  489  666
 1170  158  744  448 1344 1022  680  698  484 1000  714  111 1302  862
 1003 1128 1154  433  885   30 1159 1339  586  704 1120 1136  293  332
 1274  641  785  815  886  843 1213 1119 1232  243  269   23  646  879
 1046  403]"		
0	198640.json		
1	"[ 680  728  641 1056  815 1262   79  510  779 1093 1277  992 1003 1364
 1317  991  659  429  622  367  953  362 1158  629  843 1155  964  448
  243 1119  770 1377  886  806  236  543  616   15  940  789  885  343
  704  550  694 1170 1197  548  514  662  403  602 1096  983  158 1113
  702  436  741  952  797  733 1033  853  714  610  663  788  871  696
  147   86 1211  150 1019 1388  242  705  497    6  417  639  968  646
  430  505  967  859  241   48  946  438 1046  893  666  173  218   14
   26 1082]"		
0	198641.json		
1	"[ 680 1262 1119  733  510  815  362   92 1093  478  702  770 1155  953
  629 1003  241  622  992   38  843  641 1170  367  429  779  886  436
  897 1033  705   14 1181  659 1082  679   18 1350 1319  797  736  940
 1179 1317  543  154   15  662 1277  243  979 1364 1019  550  616  256
   79   86  155  524 1302 1007  411 1141   23  996  258 1375  438  728
 1394  991 1197  666  785   24  315   73  530  602  818 1388  447   26
 1344  398  724  695  403  242  741 1056 1330    6  199 1158 1226 1337
 1156 1221]"		
0	198642.json		
1	"[ 680  843  886  641  991  815  362 1277   79  429 1262  779 1019  659
  367  510 1003 1093 1364 1317  629 1155  992  550  741  243  430  728
 1158  622  940  543 1197   26  516  514  242 1350  173  662 1033  770
  241  639  733  702 1096 1179  436  967  530  295 1119  953 1211  853
  616  959 1377   48  774   38  500  933    6  448  465  705 1170  433
  548  537 1113 1311  871  785  403  797  197 1056   86   44  714 1082
  232 1375  218  663  694  286  276  983 1388  158  621  507  264  833
  182  591]"		
0	198643.json		
1	"[ 680  510  779 1262  641  815 1277   79 1364 1155  367  659  629  991
 1093 1317 1003  886 1197  362  770  843  940  429 1033  622  662  243
  733  797  953  543  436  616  550  992 1019  983  702 1096  741 1158
  241 1119  728  705  871 1388 1226 1170  537 1041  154  514   48  818
  663   86   26  639 1113   38 1082 1377  218 1056  979  548 1350  403
  530   73  736  946  591  996 1179  430 1181  602  694    6 1375  264
 1211  448  286  952  789  500   18  724  666 1221   24  173  158   92
  679  478]"		
0	198644.json		
1	"[ 696 1132  853 1161  146  925 1173  930  291 1026  248 1180  723  918
 1126  698  814  545  791  111  269  691  958 1035 1153  182  285  343
  562   89 1144 1022  475  993   74  401  254  463  992 1065 1338  112
 1159  454  224 1120 1101 1000 1232  502  649  874  708  332  603 1393
  437  836  728  610  121  214  862 1367  361  768  126  859  203 1057
 1366 1136  489 1078 1220 1102 1213 1246  744 1335 1376  477  806  148
  635  358  242  515 1011 1207 1149  480  959 1046  584  280 1200 1266
  879  714]"		
0	198645.json		
1	"[ 680  815  641  779  367   79  510 1277  991  659 1155  940  629 1262
  733  843 1003 1093  662 1033 1364  886 1317  543  550 1019  770  436
  702  429 1197  741  622   48  362  241  797  243  705   73   38  983
  996   86   18  154 1119 1179  218   26  411  979  871   68 1170  992
  286 1041  537  478 1096 1007 1181  447  639 1082  736  264 1330  953
 1059 1221   92  173 1375 1158    6  495  514  430 1350  256  616  530
 1388 1226  591  818  724 1337  946  232  728 1211  897  522  155  952
  235  548]"		
0	198646.json		
1	"[ 680  815  641  779 1155 1364  510 1277  940  367  629 1262   79  733
  659  991 1003  662  770  843 1033  797  154  886 1093 1317  702 1019
  705  436  543  241  550  362  243 1197  996  622   38  429   48  741
   86 1119  979 1082  953   18   73  155 1096 1179 1388  478  818  218
 1181  411 1170   26   24  616  495 1010 1350  946  447 1007  983 1221
   92  871  537  760   68  639 1330  992  736 1375 1226  530    6  952
  256 1059  522  724 1158  173  728  591  286  897 1041  430  602 1337
 1113  403]"		
0	198647.json		
1	"[1059  680  770  550  815  516  429  843  886  741  510  641 1155  779
  362 1262 1019 1082  991 1093  785  367 1277  197  243  629    6  979
   38  733   79 1003  242  659  940  530 1058  620  286   26  662  666
 1179 1317 1033  833  938  507  256  436  241  543  702  695 1364 1234
  622 1350  430  705 1197   44  992  410  797  522  235 1170 1337  433
  428  478  178  897 1119  154  996   18   92   48 1007 1311  591   86
   73  218  736  953 1181  411  398  796  347 1375  639 1226  514 1330
 1221  983]"		
0	198648.json		
1	"[1180 1132 1338 1173 1161  248 1126  853 1026  696 1035 1078 1144  649
  814  291  182  269  224 1136  502  791  836 1220  862  691 1200  146
 1159  475 1022  454 1393  959 1101  925  992  698  343  562  126  879
 1366  918 1000 1143 1232 1376  545 1367  401  744  463  121  768 1284
   74  214 1128  489 1102 1065  437 1149  111 1097  858  708 1153  203
  285  728 1246  859 1154  319  723  874 1120   89  332  293  993 1356
  610  930  341  484  584 1335 1105 1057  806  399  358 1011  112  752
  586  958]"		
0	198649.json		
1	"[ 696  728  806  992  610 1046  236  853  788  859  463  408   79  343
  622 1065  714  429  448 1132 1093 1262  641  815 1158  991   74 1056
  635  361  680  417  767  400 1161  885  158  659  958  147  637  362
 1003 1196  723  779  470  691  248  345  646  325 1026 1146  254  266
 1339  489   37 1277  603  694  401  367  704  548  766 1364  653 1377
  165  242  918 1317  243  562  616 1113  625  182 1119  933 1286  843
 1211  510 1159  959 1000  964  602  279  629  967    6  433  953   15
  280  506]"		
0	198650.json		
1	"[ 680  733 1155   38  770  510  797  241  815  629 1262  367  779  940
  154  641 1033  705  702  478  662  436  256 1019 1181   92  843  155
   18  979 1093  886 1277 1364  411 1003 1179  897 1082  524  362  996
   73  736  550 1317 1350  543  659 1197  724 1109  953 1337   14  530
   79 1264  991 1170 1119 1221 1007   86  429   26 1141  243 1226  622
 1388 1330  741  522  818  276  591  695 1375  218  850   48  398  983
  235  796 1319 1253  760  258 1059  639  447  431   24  757  992  616
  679  495]"		
0	198651.json		
1	"[1180 1128 1132 1035 1143  182 1338  959  814  649 1078  853 1144  562
    0 1136  858  502 1097  586  399 1274  918  992 1161  475  291 1022
 1173 1220 1101 1105  836  484  269 1200  791  224  919 1026  862  293
  790 1160  401 1149  343 1126 1322  420 1366  607  948  319  248 1367
 1284   74 1393  696  362 1116  358  454 1154  126  679  285   19  879
 1159  146 1120  228 1165  666  728  708 1000  744  488 1356  242  925
  752  768  341 1376 1030  332 1232  167  691  795  111 1302   44 1252
  214 1213]"		
0	198652.json		
1	"[ 680 1262 1155  510  733  815 1093  770  641  629  779  362  367  843
 1003  241  702   38  886 1277  622  436  797 1317  940 1033 1170   92
  897   79  705 1119 1350  429  662  953  659 1019 1364  992 1179  736
  543  478 1181  154   18  991  256  550  979 1082  243  155  530   14
 1197  996  411  524   73   26 1226  602  679 1375   86  616   15 1388
  818  741 1141 1337  403  398  728 1319 1007  258 1221  218  724  666
  663  448  591 1330    6  447 1056  694 1264  438   48 1158  983  785
  695  548]"		
0	198653.json		
1	"[ 510  680 1262   79  641  815 1093  779 1317  991 1277  728  448 1003
  622  659 1377  367 1155  429  843  992  694 1364  629  362  548 1158
  158  663  871 1056  602  886  243  543 1119  806 1170  940  953  403
  770  236 1226  616 1167  550  733 1197  714 1096  741  417  436  666
  662 1113 1388 1033  702  646  514   15  438 1019 1211  983  547  964
   48  343    6  736  906  610  494  430 1156  537  173  853  150  147
  797 1165  967  266  705  218  530  789   26  242   86  818  788  679
  639 1179]"		
0	198654.json		
1	"[ 680  733   38  843 1155  241  770  510  815  629  478 1179  886 1019
  362  797   92  256 1262  550  367 1033  702  436  940  641  779 1093
   18  705  897 1181  662  154 1350  411  276  524  979  429  155 1003
  530  736 1337 1277 1082  996   73  695   26 1109  543  235 1317  757
   14 1170  991  724  659 1330 1364  622 1197 1141   79  522  796  741
 1007 1264 1221  258  953 1119  833 1085   86  591 1375 1226 1059  243
  850 1319  398  785  431  992  507  679   48 1388  818 1253  218 1302
  983  178]"		
0	198655.json		
1	"[1143    0  948  814  941  313  768 1302  371  102 1281  980 1315 1395
  985 1274  782 1116 1213 1101  649  794  554    1  278  399  688 1035
  919  959 1203 1106 1022  456 1128 1322 1180 1030  648  233  970 1078
  828  992   80  785   44  182  927  633  300  512  269   23 1144 1097
  890  710  924 1305  744  793  576  293  231 1351 1132  475 1303 1366
  679 1338 1064  328  452  350 1160  343  224  373  488  836  332  790
  225  210  242  348 1200  404  526  220 1120 1001  428 1356  607  270
  539  562]"		
0	198656.json		
1	"[ 666  362  530   19 1128   44  785  429  843  484  428  242 1093  886
  992  680  663  510  622  398 1165  679  401 1262 1226  197 1350  853
 1170  228  550  959  736  399   38  770    9  548  616 1302  158  562
    6  641  607  182 1003   58 1167 1012  815 1181 1132 1155  728  436
  516  695  833  629  897 1059  448  602 1082 1019 1317  241 1179   92
  733  779  906  403  343 1156 1119   79   26  871  965 1058  494  243
 1033  256 1277  694  478   23  367 1337  953  757  931  705  140  423
  938 1377]"		
0	198657.json		
1	"[  38  733  256  524  155 1181  241 1109   92  478 1155  770  680  797
  897  411  154  436   18   14  736  705  979  850 1264  702 1337  724
  109 1179  510 1033  629 1262 1141 1253  996 1350   73  796 1082  662
 1019  940  779  522 1007 1170  530 1093  695  843  757 1330 1375  367
  815  886  276  641  398 1221 1319  157  953 1348  362 1302  591 1250
 1226  543 1003  235  818 1119  550   86  622   26  720   15  258  679
  196  431  199 1085  760  271 1317 1197  833  178 1394 1248 1277 1388
  439  743]"		
0	198658.json		
1	"[ 680 1155  815  991  641  770  779  886 1262  510 1019  733  367 1277
  843  629 1093   79  243  659  662  992 1003  940 1317  362  705  979
  436    6  550  797 1364  429  897  622 1197  741 1033  702  430  241
   38  500  218 1350   26  256  743 1179  543 1059 1119 1337  447 1082
   18  996  591  178 1170  433  967  530  639   73   48  478  953  154
  679 1221  796  514  286 1388   86 1226   92 1264 1234  728  736  411
  695  983  757 1181 1375 1330  760  871  785 1158  516  774  602 1096
  507  724]"		
0	198660.json		
1	"[ 510  680  779  641  815 1155 1277  629  367  733  770 1262 1093  940
 1003   79  659  843 1317  886  662  702  991  241 1033 1019  797 1181
  436  543  362   38 1226 1364 1197  429  550  530  736  871  705  622
   18  478  154  741 1179 1119  953  979   86   92  996   26   73 1007
 1170 1350  256  411  663  243  983   48  218 1375 1221  897  591  639
  398  537 1388  602 1082  992   14  524  548 1330 1337  818  447   68
  724  514  155 1096 1056   15 1141 1059  258 1158  666  522  295  694
  286 1319]"		
0	198662.json		
1	"[  72   85  685 1278  643  413  746 1032 1115  912  262 1345  555  442
  406  706  613  123  535  873  722 1168 1117 1235    5  949 1303  582
 1183  162  703  238  252  977  575 1092 1077  971  657 1017   17 1257
  381  756  350  521  619 1293  824 1142 1229  563  227 1025  734 1334
  531  181  340  113  583 1307  881 1259 1103 1094 1263    2  837  609
  380  237  825  987  845  251  869  473 1315  976 1254 1379  578 1360
  997 1266  803  310 1260  842  225  471  519  384 1195  984 1034 1352
  209  170]"		
0	198663.json		
1	"[ 733   38   92  241  770   14  680 1181  478 1155  256  897  155  797
  524  510  736  629  154  702   18  705  436 1109  411 1262 1179 1033
 1093 1264 1350  979  662 1082 1170  843 1141  398  953  362  724  530
  940  815 1337  367  779  996 1019 1007  886   15 1003   73  850  641
 1319 1253 1226 1302  522  695  679 1330 1221 1375  757  796  622  550
 1119  276  543 1317 1250  157  591   86 1197  429  109  258   26 1277
  818  235  431 1348  196 1085  785  497  199 1394 1388  992 1364  666
  271  116]"		
0	198664.json		
1	"[ 680 1155  510  733   38  241  770  886 1375 1350  797  705  702 1277
  629 1337 1019  779  591  897 1262  815   92  478 1093  256   18  362
 1003  662  524  530  436 1181  367  843  116  641 1033   14 1317  953
  940 1179  154 1197  155   86  996  639  411  398  543 1007  659  979
 1264  431  199  736  785   26 1330  622 1119   79 1221  507  550 1082
 1170   73  724  513  695  833 1319   15  514  429  276 1226 1364  818
  757  741  522  720  774 1109  789  196  991 1141  258   44  983 1056
  796  640]"		
0	198665.json		
1	"[ 234 1081  995  665  838  249 1218  957  374  799  284 1201  787   12
  345 1049 1003  415  432 1249  598 1258  732  676 1291  917  664  657
  647  727  349  610 1146  618 1299  207 1293 1352  878 1051 1054  997
   83  273  248  730   52  486  470  921  988  947 1388  176 1184  681
 1000  302  765 1357  434  882  365  506 1155 1195 1329  646  686  379
  282  473 1194 1235  155   37  625 1210  487   17  156  931 1162 1002
  816  525 1222  859  318 1182  354  766  471  541  634 1212 1209  694
 1341  519]"		
0	198666.json		
1	"[1262  779   79  641 1093  680 1155  616  622  510 1277  728 1158  815
  818  448  991 1364 1317  548  992  659 1156  714 1113  629  243   15
 1170  953  429  236 1377 1003  367  362  694  673  843  147  886  403
  663 1096  417  158  343  436 1119  720 1056   32  666  173 1375  770
  806  741  626  602  494 1018  543  967   48  702  299  537  610 1344
  968 1211   74  372  451  571  940  662  232  333  258  150 1165  853
  646  964  983 1388  789 1167  514 1033  470 1019  733  550   68 1226
  788 1197]"		
0	198667.json		
1	"[1248 1302  313 1116  399 1143   92  679 1128  524    0 1274  102  736
  897 1141  992 1050   23 1303  567 1109  155 1170  362  785  562  182
 1082 1344   38  850  931  403  814 1149 1078 1319 1322 1181   14  233
  343  948  953   24  988  919 1350  586 1351  902  154  315   44  478
  616  452  167  431 1394  666  241   15  638  428  770  680  157  959
  512  702  411 1253 1035 1101  398   80  980 1030  622  294 1132  705
 1120 1093 1085  728  695  144  696 1180  733  271 1165 1262 1154  853
 1135  921]"		
0	198668.json		
1	"[ 789  116 1056  953  680 1375 1155  510 1262  779  964  451   15  770
 1139  514 1277  622 1317 1093  797   14  497  641  886 1377  815  362
  196 1003  639  150  629  591   79  705  952 1158 1350 1197  733  983
  436  968  444  843  882  818  943 1364 1310  810  728  367  704  885
  897 1170  616  241  659  662 1019  946  398  702 1119   86  992  343
  429  663   38  774 1054  931  991  543 1264 1096  975  199 1156 1337
  940  448  147 1033 1388  431  530  155  785  243   26   92 1179  548
 1007  338]"		
0	198669.json		
1	"[1056  789  953  964  622  680  444   15 1093 1262  510 1375  728  451
 1317  931  968 1158  147 1377  992  362 1277 1155 1054  343  774  704
  514 1003  448  116  150  815 1350  886   79 1119  779  959  497  897
 1139  770  641  885  659  733 1170  541  629  702   14  843  705  429
  438  639  806  315   86  882  785 1392  610  236  591  991  395 1197
  663  367  505  242  430  408  417  646  952 1310  543  199  548  797
  720   44  440  616  694 1019  714  602 1070  436 1349  403 1156 1364
  983  788]"		
0	198671.json		
1	"[ 448  158  806  236  610  728 1377  266  548  470  663  637  646  417
  408 1286  714  859  694 1167 1046 1093   79  767  906  602  494  279
  992  600  853  345  622 1262  541  857  510 1054  463  788  547 1158
  641 1339  815 1317  896  991  343  680 1047  666  696  403   37  489
  429  400  647  594  871 1196 1165  635 1000 1132 1056  284  362  147
  655  766  349 1277  542  625 1003  879  779 1113  659  401 1065   74
  843  484  959 1252  577 1226  242  704 1162 1119 1211  885  933  506
 1170  243]"		
0	198672.json		
1	"[ 977  609 1103  619  596 1032  824 1071  613  101 1264  951  796  825
  457  909 1025  743  314 1183  531   63  923 1351   41  251  336 1187
 1263  924  995 1330  624  588  164  256 1332  227  591  962  835 1015
  926  267 1315  760  979  845 1221  897  137  442 1039  178  205  551
  410  997  725  458  971  500   67 1184 1255  245  217  212  406  757
 1238 1254 1257  724 1362  428  333  770  414  364  338 1265  669  945
  797   80 1075  664  818  109  990  223  347  535   18  870  753 1298
  481  413]"		
0	198673.json		
1	"[ 696  992 1132  853  728  343   74 1262  562  182 1161  254  959  362
  918 1093  622  958  806  236  429 1180  859  448  463  401 1149  242
 1065  158  610  708 1026  925  723 1338  489  361  248  616  399  146
 1344  714  603 1144  285  691  680 1119 1000  814 1173  679  791 1339
  291 1046 1196  815   79 1170 1003  280 1158  646  698  641  788  345
  704 1035 1154 1126  408 1232  403  126  666  147  694 1078  243 1252
   37  862  931  795  930  843  886   30 1022  637  433 1159  885  879
  602  649]"		
0	198674.json		
1	"[ 105  316  490  318  955  608  898  935  272  221  405  312  142  161
 1327  369 1118 1289   98 1131  670   36  668  134 1139   34 1391  338
 1107 1347  196   33   22 1172 1017  810  116  636  396  518   90   43
  969  789 1028  351 1178  434  444 1005 1100 1228  263  593  267  900
  208  497  847 1310  432  212  175  765  947  172 1349  943 1212  882
  645  457  394  331  601  451  675  975  557  681  699  395   14  414
  827 1166  195  740 1004  870 1295   25  856  493 1261 1056  466 1250
 1091 1209]"		
0	198675.json		
1	"[ 733   38  241  680   92  478 1181  256 1155  770   14  797  524  154
  702  155  897  629   18  411 1109  510  979 1033  436  662  705  736
  940 1262 1179   73  815  367  779 1007  724  641 1019 1082 1093 1350
 1337  996  850  843  522 1264  886 1141 1221 1330 1003 1170  953  695
  530  362  550  796  276   86  109 1253  235  258 1226 1197  543  591
  757 1119 1319  818   26 1277 1348 1317 1375   15  622  398  659  429
 1364  199  431  157  679  271 1059  447 1250 1085 1302   79  833 1388
  741  760]"		
0	198676.json		
1	"[ 992  696  853  728  362  622 1262  343 1132  429 1093  680  182  562
  616  242   74 1003  815  959  641 1170  448 1119  806  679  918  843
   79  158  401  243  666  254  859  236  886  629  659  610  399  367
 1161 1344  779  463  403  958  953  510  708 1158 1317 1180  433 1065
 1364  694  991 1155 1302  723  646  704 1056  714    6  931  602 1149
  248  885   23  436 1165  770 1277 1350 1026  543  489  548 1339  785
 1058  315  814 1338  964  550 1046  906  361  241  484  146  285   92
  663   44]"		
0	198677.json		
1	"[ 524   18   38   92 1181  702  478  733  155 1253 1109  241 1155  256
  411  154   14  770  797  897  705 1319  510  662 1264  736  680  850
 1082  979 1007  996   86  629 1033 1394 1141  720  724 1179   73 1330
  436 1170 1250  953 1337  522 1221  398 1350 1119 1262 1135 1375  940
  199   15  530  109 1019  757  157  796 1348  760 1093  543  870  449
  695 1003  431  438 1049 1302  367  779  843  447  818 1226  815  362
  276  179  641  886  679   68  591 1184  258 1248 1362  604 1317 1388
  178  428]"		
0	198678.json		
1	"[ 853  959  401  182 1132   74  293  242  362  723  484 1161  714 1144
  728 1180  992  236  610  280  158  879  696  562  548   19  516  918
  806 1338  429 1377 1035  341  343 1336 1252  285  254 1356 1000  448
  646  791  666 1093  862 1262  859  463  663  933 1158  767  600  843
  785  886  430  788  637  621  301 1046  586 1065  752  774   37 1393
  197 1366  607  649  622   44  417 1063  345  906   79 1026  795 1376
  147 1101  475  708  291  279  228 1210  470 1149  958 1311  489 1339
  403 1165]"		
0	198679.json		
1	"[  79  680 1277  779 1262  815  991  641  510 1317  728 1364 1158 1056
  659 1377 1093  953 1003  514  789  367 1155  622  629  150  429  448
  362  964  992  243  886  843 1096  714 1197 1211  236 1113 1119  430
  952  983  806  543  694  147  770   15  741  968  639  940  548  788
  885  417  616 1054  662  403   86  550  610  158  704  797  343  663
 1388  871  173  602  893   40 1019 1010  702 1170  733  232  818  946
 1033  436 1375  218  451  116  537  705  408    6  967  438   48  497
  853 1067]"		
0	198680.json		
1	"[ 399 1302 1128 1143 1274 1116  814    0  992  313  948  102  959  182
  362  562  679  785 1035  919 1078  853   44 1132 1101  242 1149 1180
  666   23 1322  586 1350 1213  897  794  371  649 1338  980   92  343
 1170   19 1120  918 1144  512  648  475  167  931 1165  428  710 1082
 1030 1262  953  616 1154  484  401  607 1344  293  452 1351  567  233
 1097  429   38  728  241  708  744  443  622  768 1093  999  696 1050
 1160  332   74   80  770  144  126  403 1022   24  886  757  828  925
  358  398]"		
0	198681.json		
1	"[ 977 1351 1315  951  102  924  824   41 1270  428 1058 1103  796  410
  313  609  399 1264   80  101 1395  710  178  979  679  347   46  897
  270 1213 1303  757   67  941  256 1255  607    1  314  743  531 1116
  619   23  336  739  962 1238   44 1032  373  938  770 1082  535 1234
 1257 1274 1120  324  223  735  245  443  464  729  782  814 1154  785
  909 1128 1363  309  164   63  433 1059  596  414  971  620    6 1302
 1205  948 1078 1101  350 1071 1183  768  242  744  828  484 1204 1149
  426 1344]"		
0	198683.json		
1	"[  92  897   38  256 1302  241  770  733  155  478  524 1155   14 1350
  157 1082  705  679  680  797  362 1181 1109 1170 1179  736  154 1141
  992  436   18  702  796  979 1262  757 1264  785  411 1337 1093  695
  850 1319  398  629 1033  399  843 1116 1253  428  178  886 1019  724
  530  662 1085  622  953   44  510   23  996  522  271  666 1003  431
 1128  429  815  109 1119   15   73  940 1007  550  367 1330  243 1248
  616  276 1348  641    6 1250  102   24 1221 1394   26  258  250  833
  439  235]"		
0	198684.json		
1	"[1350  362  886  992  680  897 1155 1262   44    6  679  770  843  785
 1093  243  757  705 1082  429  815 1170  622 1019 1003  733  530  728
  241  629  242 1317  695  666  256   38  662 1179  550  641  510  436
  433  616  779  953  428   92   26  399  797 1234  931  155  979  154
  398  178  591 1302 1337  959  403 1311 1364  796  774  991  702 1059
  743  102  443   24  347 1119  853  938  367  448 1277  182  410  431
   79  968  465  430 1033  478  343   19 1058 1226   23  659  516 1388
  833  663]"		
0	198685.json		
1	"[ 837 1363  163  469  461  462  463  464  465  466  467  468 1395  459
  470  471  472  473  474  475  476  477  460  458  479  447  439  440
  441  442  443  444  445  446  448  457  449  450  451  452  453  454
  455  456  478  481  480  511  503  504  505  506  507  508  509  510
  512  437  513  514  515  516  517  518  519  520  502  501  500  499
  482  483  484  485  486  487  488  489  490  491  492  493  494  495
  496  497  498  438  436  522  381  373  374  375  376  377  378  379
  380  382]"		
0	198687.json		
