	0	1
63	eligio	{'NOUN': 0.7}
64	santana	{'PROPN': 0.9}
65	pă‰rez	{'PROPN': 0.9}
66	  	{'SPACE': 0}
67	1150	{'NUM': 0.4}
68	aquiles	{'PROPN': 0.9}
69	carpio	{'PROPN': 0.9}
70	pouret	{'PROPN': 0.9}
71	            	{'SPACE': 0}
72	from	{'ADP': 0.4}
73	district	{'NOUN': 0.7}
74	                 	{'SPACE': 0}
75	puerto	{'PROPN': 0.9}
76	rico	{'PROPN': 0.9}
77	         	{'SPACE': 0}
78	[	{'X': 0.4}
79	hon	{'NOUN': 0.7}
80	juan	{'PROPN': 0.9}
81	m.	{'PROPN': 0.9}
82	pă	{'NOUN': 0.7}
83	©	{'PROPN': 0.9}
84	rez	{'PROPN': 0.9}
85	gimă	{'NOUN': 0.7}
86	nez	{'PROPN': 0.9}
87	u.s	{'PROPN': 0.9}
88	judge	{'PROPN': 0.9}
89	]	{'PUNCT': 0}
90	                                	{'SPACE': 0}
91	before	{'ADP': 0.4}
92	                        	{'SPACE': 0}
93	lynch	{'PROPN': 0.9}
94	chief	{'ADJ': 0.8}
95	torruella	{'NOUN': 0.7}
96	and	{'CCONJ': 0.4}
97	lipez	{'NOUN': 0.7}
98	judges	{'NOUN': 0.7}
99	hă	{'PROPN': 0.9}
100	ctor	{'NOUN': 0.7}
101	l.	{'PROPN': 0.9}
102	ramos	{'PROPN': 0.9}
103	vega	{'PROPN': 0.9}
104	assistant	{'PROPN': 0.9}
105	federal	{'ADJ': 0.8}
106	public	{'ADJ': 0.8}
107	defender	{'NOUN': 0.7}
108	with	{'ADP': 0.4}
109	whom	{'PRON': 0.4}
110	joseph	{'PROPN': 0.9}
111	c.	{'PROPN': 0.9}
112	laws	{'NOUN': 0.7}
113	jr	{'PROPN': 0.9}
114	was	{'AUX': 0.4}
115	brief	{'ADJ': 0.8}
116	     	{'SPACE': 0}
117	jesăşs	{'PROPN': 0.9}
118	rivera	{'PROPN': 0.9}
119	delgado	{'PROPN': 0.9}
120	william	{'PROPN': 0.9}
121	brown	{'PROPN': 0.9}
122	attorney	{'NOUN': 0.7}
123	criminal	{'ADJ': 0.8}
124	division	{'NOUN': 0.7}
125	lanny	{'PROPN': 0.9}
126	breuer	{'PROPN': 0.9}
127	general	{'ADJ': 0.8}
128	rosa	{'PROPN': 0.9}
129	e.	{'PROPN': 0.9}
130	rodră­guez	{'NOUN': 0.7}
131	vă	{'PROPN': 0.9}
132	lez	{'ADJ': 0.8}
133	were	{'AUX': 0.4}
134	september	{'PROPN': 0.9}
135	8	{'NUM': 0.4}
136	             	{'SPACE': 0}
137	defendants	{'NOUN': 0.7}
138	santana-	{'PROPN': 0.9}
139	found	{'VERB': 0.6}
140	guilty	{'ADJ': 0.8}
141	violating	{'VERB': 0.6}
142	18	{'NUM': 0.4}
143	u.s.c	{'ADJ': 0.8}
144	â§	{'PROPN': 0.9}
145	2237(a)(1	{'NUM': 0.4}
146	)	{'PUNCT': 0}
147	which	{'PRON': 0.4}
148	makes	{'VERB': 0.6}
149	it	{'PRON': 0.4}
150	crime	{'NOUN': 0.7}
151	master	{'NOUN': 0.7}
152	operator	{'NOUN': 0.7}
153	or	{'CCONJ': 0.4}
154	person	{'NOUN': 0.7}
155	in	{'ADP': 0.4}
156	charge	{'NOUN': 0.7}
157	vessel	{'NOUN': 0.7}
158	subject	{'ADJ': 0.8}
159	to	{'ADP': 0.4}
160	jurisdiction	{'NOUN': 0.7}
161	knowingly	{'ADV': 0.7}
162	fail	{'VERB': 0.6}
163	obey	{'VERB': 0.6}
164	an	{'DET': 0.4}
165	order	{'NOUN': 0.7}
166	by	{'ADP': 0.4}
167	authorized	{'VERB': 0.6}
168	law	{'NOUN': 0.7}
169	enforcement	{'NOUN': 0.7}
170	officer	{'NOUN': 0.7}
171	heave	{'VERB': 0.6}
172	that	{'SCONJ': 0.4}
173	"""1"	{'NOUN': 0.7}
174	           	{'SPACE': 0}
175	they	{'PRON': 0.4}
176	now	{'ADV': 0.7}
177	appeal	{'NOUN': 0.7}
178	their	{'PRON': 0.4}
179	convictions	{'NOUN': 0.7}
180	asserting	{'VERB': 0.6}
181	multiple	{'ADJ': 0.8}
182	trial	{'NOUN': 0.7}
183	errors	{'NOUN': 0.7}
184	claiming	{'NOUN': 0.7}
185	evidence	{'NOUN': 0.7}
186	any	{'DET': 0.4}
187	event	{'NOUN': 0.7}
188	insufficient	{'ADJ': 0.8}
189	support	{'VERB': 0.6}
190	jury	{'NOUN': 0.7}
191	's	{'PART': 0.4}
192	verdict	{'NOUN': 0.7}
193	    	{'SPACE': 0}
194	finding	{'NOUN': 0.7}
195	reversible	{'ADJ': 0.8}
196	error	{'NOUN': 0.7}
197	we	{'PRON': 0.4}
198	affirm	{'VERB': 0.6}
199	                                      	{'SPACE': 0}
200	i.	{'NOUN': 0.7}
201	factual	{'ADJ': 0.8}
202	background	{'NOUN': 0.7}
203	recite	{'VERB': 0.6}
204	light	{'NOUN': 0.7}
205	most	{'ADV': 0.7}
206	favorable	{'ADJ': 0.8}
207	is	{'AUX': 0.4}
208	uncomplicated	{'ADJ': 0.8}
209	pre	{'NOUN': 0.7}
210	dawn	{'NOUN': 0.7}
211	hours	{'NOUN': 0.7}
212	march	{'PROPN': 0.9}
213	15	{'NUM': 0.4}
214	2008	{'NUM': 0.4}
215	coast	{'PROPN': 0.9}
216	guard	{'VERB': 0.6}
217	cutter	{'NOUN': 0.7}
218	matinicus	{'NOUN': 0.7}
219	patrolling	{'NOUN': 0.7}
220	mona	{'PROPN': 0.9}
221	passage	{'NOUN': 0.7}
222	   	{'SPACE': 0}
223	between	{'ADP': 0.4}
224	dominican	{'PROPN': 0.9}
225	republic	{'PROPN': 0.9}
226	when	{'SCONJ': 0.4}
227	member	{'NOUN': 0.7}
228	crew	{'NOUN': 0.7}
229	sighted	{'VERB': 0.6}
230	small	{'PROPN': 0.9}
231	leaving	{'VERB': 0.6}
232	island	{'NOUN': 0.7}
233	heading	{'VERB': 0.6}
234	toward	{'ADP': 0.4}
235	republic.2	{'PROPN': 0.9}
236	reported	{'VERB': 0.6}
237	sighting	{'NOUN': 0.7}
238	warrant	{'NOUN': 0.7}
239	1	{'NUM': 0.4}
240	means	{'VERB': 0.6}
241	cause	{'NOUN': 0.7}
242	slow	{'ADJ': 0.8}
243	come	{'VERB': 0.6}
244	stop	{'NOUN': 0.7}
245	adjust	{'VERB': 0.6}
246	its	{'PRON': 0.4}
247	speed	{'NOUN': 0.7}
248	account	{'NOUN': 0.7}
249	weather	{'NOUN': 0.7}
250	conditions	{'NOUN': 0.7}
251	sea	{'PROPN': 0.9}
252	state	{'NOUN': 0.7}
253	facilitate	{'VERB': 0.6}
254	boarding	{'VERB': 0.6}
255	2237(e)(2	{'NUM': 0.4}
256	clarity	{'NOUN': 0.7}
257	will	{'AUX': 0.4}
258	hyphenate	{'VERB': 0.6}
259	phrase	{'NOUN': 0.7}
260	text	{'NOUN': 0.7}
261	except	{'SCONJ': 0.4}
262	quoting	{'VERB': 0.6}
263	statute	{'NOUN': 0.7}
264	cf	{'PROPN': 0.9}
265	r.h	{'PROPN': 0.9}
266	dana	{'PROPN': 0.9}
267	seaman	{'NOUN': 0.7}
268	friend	{'NOUN': 0.7}
269	111	{'NUM': 0.4}
270	(	{'PUNCT': 0}
271	14th	{'ADJ': 0.8}
272	ed	{'PROPN': 0.9}
273	1879	{'NUM': 0.4}
274	2	{'NUM': 0.4}
275	lies	{'NOUN': 0.7}
276	thirty	{'NUM': 0.4}
277	eight	{'NUM': 0.4}
278	miles	{'NOUN': 0.7}
279	west	{'PROPN': 0.9}
280	main	{'ADJ': 0.8}
281	about	{'ADP': 0.4}
282	halfway	{'PROPN': 0.9}
283	                                     	{'SPACE': 0}
284	-3-	{'PUNCT': 0}
285	michael	{'PROPN': 0.9}
286	levecque	{'PROPN': 0.9}
287	who	{'PRON': 0.4}
288	ordered	{'VERB': 0.6}
289	brought	{'VERB': 0.6}
290	intercept	{'VERB': 0.6}
291	later	{'ADV': 0.7}
292	turned	{'VERB': 0.6}
293	out	{'ADP': 0.4}
294	operating	{'VERB': 0.6}
295	also	{'ADV': 0.7}
296	             	{'SPACE': 0}
297	at	{'ADP': 0.4}
298	around	{'ADP': 0.4}
299	5:10	{'NUM': 0.4}
300	a.m.	{'NOUN': 0.7}
301	activated	{'VERB': 0.6}
302	blue	{'PROPN': 0.9}
303	ship	{'NOUN': 0.7}
304	mast	{'NOUN': 0.7}
305	;	{'PUNCT': 0}
306	shined	{'VERB': 0.6}
307	spotlight	{'NOUN': 0.7}
308	'	{'PUNCT': 0}
309	blew	{'VERB': 0.6}
310	whistle	{'NOUN': 0.7}
311	began	{'VERB': 0.6}
312	directing	{'VERB': 0.6}
313	both	{'DET': 0.4}
314	english	{'PROPN': 0.9}
315	spanish	{'ADJ': 0.8}
316	using	{'VERB': 0.6}
317	loud	{'ADJ': 0.8}
318	hailer	{'NOUN': 0.7}
319	        	{'SPACE': 0}
320	did	{'VERB': 0.6}
321	not	{'PART': 0.4}
322	time	{'NOUN': 0.7}
323	non	{'ADJ': 0.8}
324	compliant	{'ADJ': 0.8}
325	team	{'NOUN': 0.7}
326	launched	{'VERB': 0.6}
327	5:15	{'NUM': 0.4}
328	arrived	{'VERB': 0.6}
329	alongside	{'ADP': 0.4}
330	one	{'NUM': 0.4}
331	minute	{'NOUN': 0.7}
332	commanding	{'VERB': 0.6}
333	made	{'VERB': 0.6}
334	second	{'ADJ': 0.8}
335	approach	{'NOUN': 0.7}
336	while	{'SCONJ': 0.4}
337	repeating	{'VERB': 0.6}
338	command	{'NOUN': 0.7}
339	but	{'CCONJ': 0.4}
340	again	{'ADV': 0.7}
341	finally	{'ADV': 0.7}
342	third	{'NOUN': 0.7}
343	told	{'VERB': 0.6}
344	force	{'NOUN': 0.7}
345	would	{'AUX': 0.4}
346	used	{'VERB': 0.6}
347	if	{'SCONJ': 0.4}
348	off	{'ADP': 0.4}
349	motor	{'NOUN': 0.7}
350	point	{'NOUN': 0.7}
351	taken	{'VERB': 0.6}
352	into	{'ADP': 0.4}
353	custody	{'NOUN': 0.7}
354	twelve	{'NUM': 0.4}
355	minutes	{'NOUN': 0.7}
356	elapsed	{'VERB': 0.6}
357	stopped	{'VERB': 0.6}
358	subsequently	{'ADV': 0.7}
359	charged	{'VERB': 0.6}
360	failing	{'VERB': 0.6}
361	2237(a	{'NUM': 0.4}
362	government	{'NOUN': 0.7}
363	argued	{'VERB': 0.6}
364	                                        	{'SPACE': 0}
365	-4-	{'PUNCT': 0}
366	convicted	{'VERB': 0.6}
367	principal	{'ADJ': 0.8}
368	aider	{'NOUN': 0.7}
369	abettor	{'NOUN': 0.7}
370	returned	{'VERB': 0.6}
371	summarily	{'ADV': 0.7}
372	denied	{'VERB': 0.6}
373	post	{'X': 0.4}
374	motion	{'NOUN': 0.7}
375	judgment	{'NOUN': 0.7}
376	acquittal	{'NOUN': 0.7}
377	followed	{'VERB': 0.6}
378	ii	{'PROPN': 0.9}
379	raise	{'VERB': 0.6}
380	five	{'NUM': 0.4}
381	claims	{'NOUN': 0.7}
382	:	{'PUNCT': 0}
383	have	{'AUX': 0.4}
384	entered	{'VERB': 0.6}
385	because	{'SCONJ': 0.4}
386	there	{'PRON': 0.4}
387	heard	{'VERB': 0.6}
388	understood	{'VERB': 0.6}
389	orders	{'NOUN': 0.7}
390	erroneously	{'ADV': 0.7}
391	ruled	{'VERB': 0.6}
392	relating	{'VERB': 0.6}
393	prior	{'ADJ': 0.8}
394	conviction	{'NOUN': 0.7}
395	could	{'AUX': 0.4}
396	admitted	{'VERB': 0.6}
397	impeach	{'VERB': 0.6}
398	he	{'PRON': 0.4}
399	testified	{'VERB': 0.6}
400	improperly	{'ADV': 0.7}
401	vouched	{'VERB': 0.6}
402	own	{'ADJ': 0.8}
403	witnesses	{'NOUN': 0.7}
404	during	{'ADP': 0.4}
405	closing	{'VERB': 0.6}
406	arguments	{'NOUN': 0.7}
407	4	{'NUM': 0.4}
408	erred	{'VERB': 0.6}
409	refusing	{'VERB': 0.6}
410	give	{'VERB': 0.6}
411	missing	{'VERB': 0.6}
412	instruction	{'NOUN': 0.7}
413	engaged	{'VERB': 0.6}
414	improper	{'ADJ': 0.8}
415	questioning	{'NOUN': 0.7}
416	testimony	{'NOUN': 0.7}
417	address	{'VERB': 0.6}
418	each	{'DET': 0.4}
419	these	{'DET': 0.4}
420	turn	{'VERB': 0.6}
421	sufficiency	{'NOUN': 0.7}
422	prove	{'VERB': 0.6}
423	failure	{'NOUN': 0.7}
424	must	{'AUX': 0.4}
425	show	{'VERB': 0.6}
426	failed	{'VERB': 0.6}
427	                                       	{'SPACE': 0}
428	-5-	{'PUNCT': 0}
429	knowing	{'VERB': 0.6}
430	intentional.3	{'PROPN': 0.9}
431	see	{'VERB': 0.6}
432	b	{'X': 0.4}
433	establish	{'VERB': 0.6}
434	aiding	{'VERB': 0.6}
435	abetting	{'VERB': 0.6}
436	liability	{'NOUN': 0.7}
437	committed	{'VERB': 0.6}
438	substantive	{'ADJ': 0.8}
439	offense	{'NOUN': 0.7}
440	accomplice	{'NOUN': 0.7}
441	became	{'VERB': 0.6}
442	associated	{'VERB': 0.6}
443	endeavor	{'NOUN': 0.7}
444	took	{'VERB': 0.6}
445	part	{'NOUN': 0.7}
446	intending	{'VERB': 0.6}
447	assure	{'VERB': 0.6}
448	success	{'NOUN': 0.7}
449	gonzalez	{'PROPN': 0.9}
450	570	{'NUM': 0.4}
451	f.3d	{'PUNCT': 0}
452	16	{'NUM': 0.4}
453	28	{'NUM': 0.4}
454	29	{'NUM': 0.4}
455	1st	{'PROPN': 0.9}
456	cir	{'PROPN': 0.9}
457	2009	{'NUM': 0.4}
458	internal	{'ADJ': 0.8}
459	quotations	{'NOUN': 0.7}
460	marks	{'NOUN': 0.7}
461	citations	{'NOUN': 0.7}
462	omitted	{'VERB': 0.6}
463	review	{'NOUN': 0.7}
464	ask	{'VERB': 0.6}
465	whether	{'SCONJ': 0.4}
466	viewed	{'VERB': 0.6}
467	prosecution	{'NOUN': 0.7}
468	permit	{'VERB': 0.6}
469	reasonable	{'ADJ': 0.8}
470	find	{'VERB': 0.6}
471	element	{'NOUN': 0.7}
472	beyond	{'ADP': 0.4}
473	doubt	{'NOUN': 0.7}
474	rosado	{'PROPN': 0.9}
475	605	{'NUM': 0.4}
476	48	{'NUM': 0.4}
477	52	{'NUM': 0.4}
478	proof	{'NOUN': 0.7}
479	operated	{'VERB': 0.6}
480	case	{'NOUN': 0.7}
481	instructed	{'VERB': 0.6}
482	located	{'VERB': 0.6}
483	within	{'ADP': 0.4}
484	customs	{'NOUN': 0.7}
485	waters	{'NOUN': 0.7}
486	area	{'NOUN': 0.7}
487	extend[s	{'ADJ': 0.8}
488	four	{'NUM': 0.4}
489	leagues	{'NOUN': 0.7}
490	territory	{'NOUN': 0.7}
491	unless	{'SCONJ': 0.4}
492	another	{'DET': 0.4}
493	distance	{'NOUN': 0.7}
494	has	{'AUX': 0.4}
495	been	{'AUX': 0.4}
496	established	{'VERB': 0.6}
497	treaty	{'NOUN': 0.7}
498	132	{'NUM': 0.4}
499	860	{'NUM': 0.4}
500	863	{'NUM': 0.4}
501	64	{'NUM': 0.4}
502	1998	{'NUM': 0.4}
503	quotation	{'NOUN': 0.7}
504	46	{'NUM': 0.4}
505	70502(c)(1)(d	{'NUM': 0.4}
506	t]he	{'ADJ': 0.8}
507	term	{'NOUN': 0.7}
508	includes	{'VERB': 0.6}
509	undisputed	{'ADJ': 0.8}
510	incident	{'NOUN': 0.7}
511	here	{'ADV': 0.7}
512	occurred	{'VERB': 0.6}
513	well	{'ADV': 0.7}
514	express	{'ADJ': 0.8}
515	proper	{'ADJ': 0.8}
516	submit	{'VERB': 0.6}
517	jurisdictional	{'ADJ': 0.8}
518	issue	{'NOUN': 0.7}
519	70504(a	{'NUM': 0.4}
520	providing	{'VERB': 0.6}
521	j]urisdictional	{'ADJ': 0.8}
522	issues	{'NOUN': 0.7}
523	arising	{'VERB': 0.6}
524	under	{'ADP': 0.4}
525	maritime	{'NOUN': 0.7}
526	drug	{'NOUN': 0.7}
527	act	{'NOUN': 0.7}
528	are	{'AUX': 0.4}
529	preliminary	{'ADJ': 0.8}
530	questions	{'NOUN': 0.7}
531	determined	{'VERB': 0.6}
532	solely	{'ADV': 0.7}
533	so	{'ADV': 0.7}
534	doing	{'VERB': 0.6}
535	harmless	{'ADJ': 0.8}
536	bravo	{'PROPN': 0.9}
537	489	{'NUM': 0.4}
538	2007	{'NUM': 0.4}
539	                                    	{'SPACE': 0}
540	-6-	{'PUNCT': 0}
541	            	{'SPACE': 0}
542	challenges	{'NOUN': 0.7}
543	only	{'ADV': 0.7}
544	had	{'AUX': 0.4}
545	requisite	{'ADJ': 0.8}
546	mens	{'NOUN': 0.7}
547	rea	{'PROPN': 0.9}
548	contends	{'VERB': 0.6}
549	aware	{'ADJ': 0.8}
550	agree	{'VERB': 0.6}
551	penalizes	{'VERB': 0.6}
552	those	{'DET': 0.4}
553	disobey	{'VERB': 0.6}
554	ordinarily	{'ADV': 0.7}
555	goes	{'VERB': 0.6}
556	knowledge	{'NOUN': 0.7}
557	facts	{'NOUN': 0.7}
558	constitute	{'VERB': 0.6}
559	bryan	{'PROPN': 0.9}
560	524	{'NUM': 0.4}
561	184	{'NUM': 0.4}
562	193	{'NUM': 0.4}
563	issuance	{'NOUN': 0.7}
564	constituting	{'VERB': 0.6}
565	knew	{'VERB': 0.6}
566	given	{'VERB': 0.6}
567	typically	{'ADV': 0.7}
568	necessary	{'ADJ': 0.8}
569	comprehended	{'VERB': 0.6}
570	essential	{'ADJ': 0.8}
571	message	{'NOUN': 0.7}
572	points	{'NOUN': 0.7}
573	his	{'PRON': 0.4}
574	argument	{'NOUN': 0.7}
575	lacked	{'VERB': 0.6}
576	saw	{'VERB': 0.6}
577	hear	{'VERB': 0.6}
578	               	{'SPACE': 0}
579	addition	{'NOUN': 0.7}
580	hearing	{'NOUN': 0.7}
581	arrest	{'VERB': 0.6}
582	statements	{'NOUN': 0.7}
583	immigration	{'NOUN': 0.7}
584	official	{'ADJ': 0.8}
585	however	{'ADV': 0.7}
586	substantial	{'ADJ': 0.8}
587	undermining	{'VERB': 0.6}
588	story	{'NOUN': 0.7}
589	lit	{'VERB': 0.6}
590	up	{'ADP': 0.4}
591	started	{'VERB': 0.6}
592	blowing	{'VERB': 0.6}
593	our	{'PRON': 0.4}
594	horn	{'NOUN': 0.7}
595	kind	{'NOUN': 0.7}
596	obviously	{'ADV': 0.7}
597	looked	{'VERB': 0.6}
598	--	{'PUNCT': 0}
599	behind	{'ADP': 0.4}
600	them	{'PRON': 0.4}
601	i	{'PRON': 0.4}
602	'm	{'AUX': 0.4}
603	sure	{'ADJ': 0.8}
604	very	{'ADJ': 0.8}
605	surprised	{'ADJ': 0.8}
606	                	{'SPACE': 0}
607	-7-	{'PUNCT': 0}
608	over	{'ADP': 0.4}
609	audible	{'ADJ': 0.8}
610	100	{'NUM': 0.4}
611	200	{'NUM': 0.4}
612	feet	{'NOUN': 0.7}
613	less	{'ADJ': 0.8}
614	than	{'ADP': 0.4}
615	150	{'NUM': 0.4}
616	further	{'ADV': 0.7}
617	repeated	{'VERB': 0.6}
618	two	{'NUM': 0.4}
619	passes	{'VERB': 0.6}
620	25	{'NUM': 0.4}
621	warned	{'VERB': 0.6}
622	acknowledged	{'VERB': 0.6}
623	statement	{'NOUN': 0.7}
624	flashing	{'VERB': 0.6}
625	lights	{'NOUN': 0.7}
626	spotted	{'VERB': 0.6}
627	tried	{'VERB': 0.6}
628	outrun	{'VERB': 0.6}
629	having	{'AUX': 0.4}
630	detained	{'VERB': 0.6}
631	previous	{'ADJ': 0.8}
632	occasions	{'NOUN': 0.7}
633	stated	{'VERB': 0.6}
634	scared	{'ADJ': 0.8}
635	want	{'VERB': 0.6}
636	go	{'VERB': 0.6}
637	jail	{'NOUN': 0.7}
638	carpio-	{'VERB': 0.6}
639	asked	{'VERB': 0.6}
640	you	{'PRON': 0.4}
641	boat	{'NOUN': 0.7}
642	what	{'PRON': 0.4}
643	happened	{'VERB': 0.6}
644	?	{'PUNCT': 0}
645	responded	{'VERB': 0.6}
646	coming	{'VERB': 0.6}
647	whole	{'ADJ': 0.8}
648	more	{'ADJ': 0.8}
649	sufficient	{'ADJ': 0.8}
650	moved	{'VERB': 0.6}
651	ground	{'VERB': 0.6}
652	properly	{'ADV': 0.7}
653	appealed	{'VERB': 0.6}
654	                                         	{'SPACE': 0}
655	-8-	{'PUNCT': 0}
656	filed	{'VERB': 0.6}
657	voluntarily	{'ADV': 0.7}
658	dismiss	{'VERB': 0.6}
659	lost	{'VERB': 0.6}
660	contact	{'NOUN': 0.7}
661	apparently	{'ADV': 0.7}
662	completing	{'VERB': 0.6}
663	sentence	{'NOUN': 0.7}
664	shown	{'VERB': 0.6}
665	affirmatively	{'ADV': 0.7}
666	withdrawal	{'NOUN': 0.7}
667	direct	{'ADJ': 0.8}
668	then	{'ADV': 0.7}
669	adopt	{'VERB': 0.6}
670	appellate	{'ADJ': 0.8}
671	discussed	{'VERB': 0.6}
672	above	{'ADP': 0.4}
673	aggressive	{'ADJ': 0.8}
674	below	{'ADV': 0.7}
675	                  	{'SPACE': 0}
676	fed	{'PROPN': 0.9}
677	r.	{'PROPN': 0.9}
678	app	{'PROPN': 0.9}
679	p.	{'PROPN': 0.9}
680	28(i	{'NUM': 0.4}
681	separate	{'ADJ': 0.8}
682	behalf	{'NOUN': 0.7}
683	rule	{'NOUN': 0.7}
684	clear	{'ADJ': 0.8}
685	a]doption	{'NOUN': 0.7}
686	reference	{'NOUN': 0.7}
687	can	{'AUX': 0.4}
688	occur	{'VERB': 0.6}
689	vacuum	{'NOUN': 0.7}
690	meaningful	{'ADJ': 0.8}
691	adopted	{'VERB': 0.6}
692	readily	{'ADV': 0.7}
693	transferrable	{'NOUN': 0.7}
694	proponent	{'NOUN': 0.7}
695	adopter	{'PROPN': 0.9}
696	david	{'PROPN': 0.9}
697	940	{'NUM': 0.4}
698	f.2d	{'NOUN': 0.7}
699	722	{'NUM': 0.4}
700	737	{'NUM': 0.4}
701	1991	{'NUM': 0.4}
702	                    	{'SPACE': 0}
703	transferable	{'ADJ': 0.8}
704	noted	{'VERB': 0.6}
705	how	{'SCONJ': 0.4}
706	might	{'AUX': 0.4}
707	transferred	{'VERB': 0.6}
708	extent	{'NOUN': 0.7}
709	argue	{'VERB': 0.6}
710	fails	{'VERB': 0.6}
711	essentially	{'ADV': 0.7}
712	reasons	{'NOUN': 0.7}
713	                                              	{'SPACE': 0}
714	-9-	{'X': 0.4}
715	circumstantial	{'ADJ': 0.8}
716	disobeyed	{'VERB': 0.6}
717	other	{'ADJ': 0.8}
718	able	{'ADJ': 0.8}
719	make	{'NOUN': 0.7}
720	forfeited	{'VERB': 0.6}
721	unavailing	{'VERB': 0.6}
722	beside	{'ADP': 0.4}
723	theory	{'NOUN': 0.7}
724	aided	{'VERB': 0.6}
725	abetted	{'VERB': 0.6}
726	reasonably	{'ADV': 0.7}
727	interpreted	{'VERB': 0.6}
728	warning	{'NOUN': 0.7}
729	sort	{'NOUN': 0.7}
730	encouragement	{'NOUN': 0.7}
731	're	{'AUX': 0.4}
732	let	{'VERB': 0.6}
733	get	{'VERB': 0.6}
734	!	{'PUNCT': 0}
735	mercado	{'PROPN': 0.9}
736	610	{'NUM': 0.4}
737	841	{'NUM': 0.4}
738	846	{'NUM': 0.4}
739	3d	{'PROPN': 0.9}
740	aid	{'VERB': 0.6}
741	abet	{'ADV': 0.7}
742	through	{'ADP': 0.4}
743	use	{'NOUN': 0.7}
744	words	{'NOUN': 0.7}
745	actions	{'NOUN': 0.7}
746	promote	{'VERB': 0.6}
747	illegal	{'ADJ': 0.8}
748	venture	{'NOUN': 0.7}
749	err	{'VERB': 0.6}
750	denying	{'VERB': 0.6}
751	b.	{'PROPN': 0.9}
752	limine	{'NOUN': 0.7}
753	him	{'PRON': 0.4}
754	609(a	{'NUM': 0.4}
755	chose	{'VERB': 0.6}
756	testify	{'VERB': 0.6}
757	although	{'SCONJ': 0.4}
758	ruling	{'NOUN': 0.7}
759	does	{'VERB': 0.6}
760	preserve	{'VERB': 0.6}
761	supreme	{'PROPN': 0.9}
762	concedes	{'VERB': 0.6}
763	claim	{'NOUN': 0.7}
764	foreclosed	{'VERB': 0.6}
765	decision	{'NOUN': 0.7}
766	-10-	{'PUNCT': 0}
767	luce	{'PROPN': 0.9}
768	469	{'NUM': 0.4}
769	38	{'NUM': 0.4}
770	1984	{'NUM': 0.4}
771	held	{'VERB': 0.6}
772	chooses	{'VERB': 0.6}
773	loses	{'VERB': 0.6}
774	right	{'NOUN': 0.7}
775	forbid	{'VERB': 0.6}
776	impeachment	{'NOUN': 0.7}
777	holmquist	{'PROPN': 0.9}
778	36	{'NUM': 0.4}
779	154	{'NUM': 0.4}
780	1994).4	{'NUM': 0.4}
781	therefore	{'ADV': 0.7}
782	reject	{'VERB': 0.6}
783	vouching	{'NOUN': 0.7}
784	prosecutor	{'NOUN': 0.7}
785	rhetorically	{'ADV': 0.7}
786	going	{'VERB': 0.6}
787	sic	{'VERB': 0.6}
788	officers	{'NOUN': 0.7}
789	believe	{'VERB': 0.6}
790	raised	{'VERB': 0.6}
791	lodged	{'VERB': 0.6}
792	objection	{'NOUN': 0.7}
793	overruled	{'VERB': 0.6}
794	occurs	{'VERB': 0.6}
795	places	{'NOUN': 0.7}
796	prestige	{'NOUN': 0.7}
797	witness	{'NOUN': 0.7}
798	making	{'VERB': 0.6}
