	verdict	intersection
10	198637.json	[6, 24, 30, 92, 93, 113, 144, 146, 148, 155, 167, 254, 271, 288, 306, 321, 341, 342, 371, 396, 401, 421, 423, 429, 448, 450, 451, 472, 475, 497, 570, 586, 607, 616, 621, 633, 641, 663, 680, 683, 696, 733, 734, 783, 786, 810, 811, 834, 840, 869, 913, 920, 939, 942, 945, 1011, 1035, 1036, 1048, 1071, 1078, 1085, 1093, 1094, 1097, 1110, 1113, 1119, 1156, 1165, 1179, 1210, 1232, 1252, 1377, 1378]
11	198638.json	[12, 37, 96, 112, 121, 126, 165, 214, 224, 236, 248, 284, 290, 319, 325, 345, 349, 361, 381, 400, 408, 415, 437, 454, 463, 473, 476, 477, 489, 494, 502, 515, 539, 541, 542, 545, 557, 561, 577, 584, 603, 610, 625, 634, 637, 652, 653, 676, 691, 698, 719, 727, 730, 767, 809, 836, 859, 865, 874, 888, 954, 958, 993, 1000, 1026, 1046, 1051, 1053, 1054, 1064, 1065, 1086, 1102, 1126, 1136, 1146, 1151, 1154, 1158, 1159, 1161, 1162, 1164, 1169, 1186, 1194, 1200, 1201, 1207, 1214, 1218, 1219, 1220, 1246, 1258, 1285, 1335, 1338, 1352, 1367, 1373, 1376, 1393]
12	198639.json	[19, 41, 69, 114, 118, 129, 133, 138, 149, 174, 225, 246, 278, 298, 310, 314, 328, 348, 357, 371, 387, 390, 410, 433, 439, 456, 461, 465, 496, 513, 517, 529, 538, 554, 564, 565, 568, 569, 574, 607, 632, 687, 709, 768, 781, 782, 804, 830, 839, 843, 863, 880, 889, 903, 909, 918, 924, 956, 972, 980, 984, 985, 1021, 1029, 1098, 1106, 1138, 1198, 1213, 1231, 1251, 1255, 1269, 1281, 1296, 1315, 1322, 1334, 1336]
13	198640.json	[12, 14, 15, 37, 55, 93, 96, 121, 126, 165, 203, 236, 266, 284, 287, 325, 345, 349, 381, 400, 434, 437, 454, 470, 473, 489, 494, 497, 515, 541, 542, 557, 577, 584, 605, 610, 625, 634, 635, 652, 676, 694, 704, 719, 727, 730, 767, 784, 809, 810, 841, 859, 865, 874, 882, 888, 893, 906, 953, 954, 964, 993, 1000, 1026, 1046, 1051, 1053, 1054, 1056, 1065, 1086, 1126, 1146, 1151, 1154, 1158, 1159, 1161, 1164, 1166, 1169, 1186, 1194, 1196, 1201, 1207, 1214, 1220, 1258, 1273, 1285, 1286, 1335, 1352, 1373, 1393, 1394]
14	198641.json	[11, 33, 43, 76, 115, 144, 146, 167, 175, 206, 216, 225, 232, 288, 317, 329, 331, 342, 369, 371, 409, 423, 424, 440, 452, 468, 478, 496, 501, 505, 549, 554, 570, 593, 601, 607, 663, 754, 765, 783, 799, 810, 822, 840, 848, 869, 907, 909, 920, 925, 939, 942, 945, 946, 987, 1036, 1048, 1071, 1077, 1080, 1094, 1101, 1110, 1119, 1131, 1182, 1195, 1206, 1233, 1298, 1343, 1345, 1349, 1370, 1378]
15	198642.json	[39, 67, 71, 84, 129, 131, 169, 174, 177, 185, 210, 220, 223, 244, 245, 246, 247, 278, 283, 286, 295, 311, 312, 338, 347, 356, 357, 362, 385, 404, 433, 443, 445, 461, 464, 465, 480, 483, 500, 513, 529, 531, 566, 573, 574, 579, 588, 604, 651, 687, 688, 707, 710, 739, 743, 769, 796, 829, 835, 846, 860, 867, 876, 877, 886, 900, 911, 928, 930, 933, 971, 972, 980, 1001, 1023, 1024, 1029, 1040, 1062, 1088, 1098, 1104, 1106, 1138, 1183, 1213, 1231, 1238, 1250, 1257, 1263, 1267, 1279, 1306, 1307, 1311, 1314, 1315, 1340, 1386]
16	198643.json	[18, 45, 48, 66, 73, 83, 105, 120, 136, 145, 153, 156, 192, 282, 302, 305, 359, 397, 407, 422, 432, 458, 466, 469, 491, 540, 544, 558, 559, 571, 591, 599, 639, 644, 686, 690, 724, 740, 741, 749, 775, 797, 799, 801, 825, 832, 850, 871, 938, 943, 944, 957, 978, 979, 990, 994, 995, 997, 1002, 1004, 1015, 1036, 1038, 1050, 1058, 1081, 1117, 1125, 1135, 1139, 1174, 1182, 1185, 1187, 1197, 1208, 1212, 1242, 1265, 1277, 1282, 1293, 1313, 1332, 1355, 1357, 1370, 1371, 1372, 1375, 1381, 1392]
17	198644.json	[7, 43, 69, 76, 87, 111, 123, 138, 144, 153, 162, 167, 175, 184, 190, 206, 216, 222, 228, 231, 239, 240, 269, 288, 291, 300, 313, 328, 330, 348, 355, 376, 387, 468, 478, 484, 486, 487, 534, 570, 601, 607, 633, 645, 648, 722, 738, 754, 762, 781, 798, 823, 837, 839, 851, 854, 863, 866, 872, 880, 881, 889, 907, 925, 934, 937, 939, 946, 953, 987, 1034, 1035, 1036, 1078, 1108, 1110, 1133, 1168, 1206, 1239, 1278, 1280, 1305, 1359]
18	198645.json	[20, 40, 43, 45, 48, 76, 79, 85, 92, 123, 144, 154, 155, 157, 162, 167, 188, 232, 241, 253, 262, 264, 294, 299, 309, 367, 402, 411, 421, 424, 447, 458, 467, 510, 514, 516, 543, 570, 572, 599, 600, 641, 662, 663, 666, 673, 674, 702, 705, 733, 738, 754, 762, 770, 812, 818, 850, 855, 875, 895, 912, 946, 952, 983, 991, 1007, 1017, 1036, 1042, 1047, 1093, 1096, 1099, 1109, 1113, 1131, 1155, 1177, 1178, 1206, 1253, 1265, 1278, 1280, 1294, 1326, 1331, 1388]
19	198646.json	[20, 48, 62, 88, 130, 137, 145, 152, 160, 188, 189, 202, 205, 213, 222, 234, 241, 251, 267, 268, 303, 364, 373, 393, 406, 425, 445, 449, 458, 466, 469, 481, 509, 518, 558, 589, 595, 597, 599, 611, 623, 628, 631, 658, 665, 666, 672, 673, 686, 715, 725, 742, 797, 800, 833, 856, 900, 902, 915, 923, 937, 940, 943, 947, 973, 979, 988, 990, 994, 996, 1014, 1015, 1125, 1130, 1185, 1193, 1197, 1221, 1223, 1226, 1236, 1277, 1278, 1301, 1316, 1332, 1355, 1357, 1371, 1392]
20	198647.json	[6, 19, 44, 45, 48, 97, 102, 148, 167, 168, 202, 243, 256, 259, 299, 306, 313, 314, 317, 326, 328, 338, 371, 392, 424, 426, 428, 430, 457, 461, 478, 507, 509, 512, 549, 550, 554, 565, 601, 607, 620, 665, 683, 709, 713, 748, 777, 779, 789, 824, 831, 848, 870, 876, 883, 884, 901, 904, 920, 938, 946, 952, 956, 979, 1014, 1017, 1036, 1050, 1058, 1072, 1081, 1082, 1099, 1110, 1137, 1178, 1179, 1187, 1223, 1255, 1269, 1278, 1279, 1281, 1318, 1349, 1392]
21	198648.json	[55, 96, 113, 146, 226, 254, 291, 306, 319, 341, 389, 399, 420, 423, 456, 475, 488, 494, 502, 515, 523, 538, 539, 541, 545, 563, 578, 585, 607, 652, 696, 737, 744, 752, 784, 791, 795, 809, 834, 836, 862, 879, 880, 913, 942, 958, 985, 987, 1011, 1021, 1035, 1063, 1064, 1077, 1078, 1086, 1092, 1097, 1114, 1120, 1132, 1136, 1143, 1149, 1159, 1180, 1200, 1220, 1232, 1266, 1273, 1286, 1296, 1322, 1335, 1338, 1345, 1356, 1366, 1367, 1373, 1378, 1393]
22	198649.json	[12, 37, 112, 121, 126, 165, 201, 203, 214, 236, 248, 266, 279, 284, 287, 290, 325, 345, 349, 361, 381, 400, 408, 415, 437, 454, 470, 471, 473, 476, 477, 494, 515, 525, 541, 542, 545, 556, 557, 561, 577, 584, 603, 605, 610, 625, 634, 635, 637, 652, 653, 676, 691, 698, 704, 719, 727, 730, 767, 788, 795, 806, 809, 826, 841, 859, 865, 874, 878, 888, 892, 917, 958, 993, 1000, 1026, 1046, 1051, 1053, 1056, 1065, 1086, 1102, 1126, 1146, 1151, 1154, 1158, 1159, 1161, 1162, 1164, 1169, 1173, 1186, 1194, 1196, 1200, 1201, 1207, 1214, 1218, 1220, 1246, 1258, 1352, 1367, 1376]
23	198650.json	[20, 43, 45, 48, 62, 66, 76, 154, 160, 188, 189, 253, 267, 273, 305, 313, 329, 377, 398, 406, 407, 424, 428, 458, 469, 509, 510, 518, 549, 554, 558, 589, 591, 599, 631, 639, 644, 665, 666, 673, 675, 686, 690, 692, 705, 740, 742, 770, 797, 799, 818, 832, 850, 938, 946, 952, 960, 979, 983, 988, 990, 997, 1004, 1036, 1058, 1081, 1082, 1099, 1109, 1125, 1155, 1184, 1206, 1215, 1223, 1225, 1265, 1277, 1305, 1332, 1349, 1392]
24	198651.json	[19, 23, 100, 113, 114, 167, 225, 228, 242, 306, 314, 328, 336, 341, 342, 346, 348, 358, 371, 390, 391, 399, 423, 456, 484, 488, 496, 538, 549, 554, 563, 564, 569, 581, 586, 607, 632, 640, 677, 703, 744, 768, 777, 781, 782, 786, 804, 820, 830, 839, 858, 862, 863, 880, 884, 889, 913, 914, 939, 942, 956, 959, 985, 1012, 1021, 1035, 1045, 1063, 1072, 1097, 1114, 1128, 1160, 1168, 1179, 1180, 1255, 1266, 1269, 1281, 1322, 1334, 1336, 1356, 1366]
25	198652.json	[14, 15, 33, 47, 113, 146, 147, 175, 206, 226, 263, 309, 341, 384, 394, 396, 409, 434, 450, 451, 468, 472, 497, 501, 541, 560, 563, 598, 616, 626, 641, 657, 663, 680, 696, 734, 737, 783, 784, 789, 809, 810, 819, 834, 837, 840, 861, 862, 869, 892, 893, 907, 908, 942, 954, 964, 969, 1011, 1036, 1048, 1071, 1094, 1110, 1113, 1119, 1140, 1156, 1165, 1167, 1182, 1195, 1210, 1232, 1273, 1286, 1310, 1343, 1345, 1370, 1377]
26	198653.json	[15, 93, 113, 146, 147, 165, 226, 321, 341, 400, 403, 417, 434, 438, 470, 473, 488, 489, 494, 541, 542, 557, 577, 578, 594, 598, 602, 616, 652, 676, 714, 717, 727, 737, 767, 809, 857, 893, 906, 942, 953, 954, 964, 999, 1000, 1016, 1018, 1046, 1054, 1056, 1145, 1154, 1156, 1158, 1163, 1167, 1182, 1195, 1199, 1201, 1214, 1224, 1261, 1262, 1286, 1338, 1344, 1352, 1358, 1373, 1377, 1378, 1393, 1394]
27	198654.json	[7, 19, 23, 58, 100, 104, 114, 115, 122, 144, 151, 182, 197, 219, 228, 231, 235, 239, 242, 257, 261, 276, 285, 288, 293, 300, 301, 306, 307, 314, 327, 328, 342, 346, 347, 348, 352, 368, 371, 390, 391, 429, 461, 484, 496, 513, 530, 569, 581, 586, 606, 607, 617, 621, 640, 677, 695, 745, 764, 781, 792, 794, 802, 804, 830, 843, 851, 863, 880, 886, 913, 914, 919, 939, 956, 965, 966, 1035, 1037, 1045, 1063, 1072, 1085, 1104, 1105, 1138, 1189, 1231, 1237, 1239, 1272, 1274, 1281, 1292, 1305, 1322, 1323, 1336, 1361, 1369]
28	198655.json	[16, 19, 38, 39, 41, 44, 67, 80, 100, 101, 107, 108, 116, 140, 156, 173, 174, 195, 200, 235, 245, 250, 256, 260, 285, 314, 328, 347, 372, 412, 416, 439, 456, 461, 465, 483, 517, 518, 521, 526, 537, 540, 554, 565, 614, 615, 620, 628, 630, 693, 709, 731, 732, 740, 741, 748, 792, 794, 832, 833, 843, 903, 910, 913, 948, 950, 956, 967, 983, 996, 1014, 1019, 1031, 1036, 1058, 1060, 1072, 1081, 1137, 1187, 1198, 1223, 1230, 1234, 1277, 1281, 1289, 1290, 1297, 1302, 1305, 1312, 1349, 1354]
29	198656.json	[19, 20, 45, 48, 97, 100, 102, 154, 157, 167, 168, 188, 202, 260, 268, 273, 305, 306, 313, 314, 317, 328, 358, 371, 390, 391, 392, 398, 406, 424, 426, 428, 458, 479, 509, 518, 530, 549, 554, 589, 591, 599, 611, 630, 644, 665, 666, 705, 709, 713, 715, 738, 740, 742, 765, 777, 794, 797, 824, 830, 833, 848, 850, 876, 884, 894, 938, 948, 952, 956, 979, 1014, 1017, 1036, 1050, 1058, 1072, 1081, 1082, 1099, 1137, 1185, 1187, 1217, 1223, 1255, 1278, 1299, 1301, 1305, 1381]
30	198657.json	[73, 86, 105, 109, 116, 136, 179, 189, 193, 302, 329, 331, 370, 372, 397, 405, 479, 518, 524, 526, 537, 540, 544, 587, 596, 598, 647, 661, 690, 709, 736, 741, 762, 765, 799, 866, 892, 938, 944, 954, 957, 967, 1002, 1031, 1043, 1049, 1054, 1067, 1110, 1135, 1172, 1181, 1182, 1194, 1195, 1223, 1242, 1248, 1299, 1328, 1354, 1372, 1375]
31	198658.json	[1, 4, 39, 41, 67, 118, 129, 133, 174, 178, 233, 259, 283, 314, 328, 347, 357, 410, 426, 430, 433, 439, 461, 464, 465, 474, 500, 512, 513, 517, 521, 529, 565, 574, 579, 580, 620, 709, 729, 739, 753, 782, 785, 808, 843, 867, 876, 886, 890, 903, 904, 909, 918, 924, 933, 941, 956, 965, 971, 984, 985, 1014, 1024, 1029, 1030, 1058, 1059, 1073, 1088, 1103, 1106, 1138, 1188, 1198, 1204, 1205, 1213, 1231, 1234, 1238, 1251, 1255, 1257, 1269, 1270, 1279, 1281, 1290, 1306, 1315, 1318, 1392]
32	198660.json	[13, 20, 31, 43, 45, 48, 49, 66, 88, 117, 119, 159, 188, 208, 241, 275, 302, 324, 337, 364, 366, 367, 393, 398, 406, 458, 499, 509, 530, 553, 558, 589, 591, 599, 623, 624, 629, 631, 642, 658, 662, 665, 666, 673, 686, 702, 705, 715, 740, 742, 761, 762, 770, 787, 797, 812, 833, 850, 856, 887, 899, 944, 975, 979, 982, 988, 994, 1004, 1007, 1015, 1017, 1050, 1082, 1095, 1109, 1112, 1123, 1125, 1174, 1191, 1193, 1206, 1216, 1277, 1278, 1280, 1301, 1331, 1348, 1371, 1381]
33	198662.json	[29, 43, 45, 48, 49, 65, 85, 120, 145, 153, 194, 205, 207, 241, 267, 268, 294, 302, 303, 359, 377, 380, 383, 397, 405, 442, 457, 458, 466, 558, 599, 673, 686, 750, 754, 760, 762, 775, 797, 799, 825, 844, 847, 849, 875, 937, 946, 979, 988, 990, 997, 1007, 1013, 1015, 1031, 1036, 1066, 1074, 1075, 1117, 1130, 1135, 1184, 1192, 1193, 1206, 1223, 1277, 1283, 1293, 1332, 1370, 1371, 1375, 1385, 1389]
34	198663.json	[14, 15, 21, 33, 40, 76, 92, 155, 179, 183, 196, 199, 277, 309, 315, 394, 418, 438, 450, 451, 452, 486, 494, 497, 506, 510, 536, 537, 541, 547, 592, 601, 616, 626, 641, 646, 648, 663, 668, 680, 681, 694, 696, 712, 717, 733, 762, 783, 810, 831, 837, 841, 866, 869, 882, 885, 892, 912, 942, 945, 953, 954, 964, 969, 999, 1007, 1017, 1048, 1056, 1093, 1096, 1113, 1119, 1145, 1153, 1156, 1158, 1167, 1181, 1194, 1195, 1210, 1262, 1310, 1319, 1377]
35	198664.json	[1, 4, 44, 90, 118, 131, 150, 194, 218, 243, 247, 251, 259, 326, 338, 343, 359, 409, 410, 433, 445, 457, 461, 492, 500, 529, 549, 550, 551, 564, 565, 574, 604, 608, 643, 709, 713, 743, 760, 777, 789, 821, 824, 848, 856, 868, 876, 877, 900, 904, 920, 933, 951, 956, 962, 970, 1028, 1039, 1059, 1083, 1088, 1098, 1099, 1118, 1130, 1138, 1177, 1213, 1226, 1250, 1270, 1279, 1281, 1306, 1309, 1314, 1318, 1332, 1350, 1363, 1365, 1392]
36	198665.json	[12, 37, 83, 95, 103, 121, 126, 153, 165, 236, 248, 266, 279, 281, 284, 290, 304, 325, 345, 349, 365, 381, 415, 417, 425, 434, 437, 438, 454, 463, 470, 473, 476, 486, 489, 506, 515, 542, 557, 561, 577, 584, 603, 610, 616, 625, 634, 637, 645, 647, 664, 676, 704, 719, 727, 730, 762, 793, 809, 816, 826, 841, 857, 859, 874, 878, 882, 888, 893, 905, 917, 954, 993, 999, 1000, 1003, 1026, 1046, 1051, 1053, 1054, 1126, 1136, 1146, 1151, 1154, 1158, 1162, 1164, 1166, 1169, 1186, 1194, 1201, 1207, 1214, 1218, 1219, 1220, 1258, 1285, 1335, 1352, 1359, 1360, 1367, 1374, 1376, 1394]
37	198666.json	[15, 32, 74, 113, 158, 181, 196, 226, 271, 288, 321, 329, 333, 341, 396, 403, 434, 448, 450, 451, 475, 494, 502, 511, 536, 537, 541, 542, 547, 577, 594, 598, 616, 626, 641, 652, 663, 680, 708, 714, 717, 734, 773, 783, 809, 810, 818, 857, 866, 885, 906, 908, 932, 942, 945, 953, 960, 964, 987, 989, 1011, 1016, 1018, 1079, 1113, 1145, 1156, 1163, 1165, 1167, 1195, 1199, 1210, 1248, 1262, 1273, 1310, 1335, 1338, 1342, 1344, 1345, 1358, 1373, 1377, 1378, 1394]
38	198667.json	[20, 43, 45, 48, 66, 88, 92, 95, 119, 127, 152, 153, 188, 202, 234, 240, 241, 267, 273, 303, 313, 318, 324, 354, 364, 391, 393, 398, 406, 411, 431, 457, 466, 479, 509, 518, 558, 587, 589, 591, 595, 599, 624, 628, 642, 645, 665, 666, 686, 693, 705, 715, 742, 750, 797, 850, 852, 934, 948, 952, 979, 988, 994, 1004, 1015, 1036, 1049, 1050, 1081, 1082, 1089, 1109, 1118, 1130, 1141, 1150, 1185, 1190, 1193, 1206, 1217, 1223, 1225, 1236, 1249, 1277, 1278, 1280, 1288, 1301, 1305, 1332, 1333, 1354, 1381]
39	198668.json	[15, 33, 93, 146, 147, 161, 175, 196, 206, 217, 221, 226, 287, 288, 331, 369, 394, 396, 409, 423, 434, 435, 440, 450, 451, 468, 472, 489, 494, 497, 501, 534, 541, 547, 593, 598, 616, 681, 734, 737, 748, 784, 789, 809, 810, 817, 822, 834, 837, 840, 861, 869, 882, 892, 893, 907, 908, 909, 935, 945, 953, 954, 955, 960, 964, 969, 987, 1021, 1036, 1048, 1071, 1080, 1094, 1107, 1110, 1113, 1131, 1140, 1156, 1158, 1165, 1172, 1182, 1195, 1199, 1228, 1233, 1273, 1286, 1310, 1343, 1345, 1377, 1378, 1394]
40	198669.json	[6, 14, 22, 33, 36, 47, 55, 93, 134, 147, 148, 158, 165, 175, 196, 199, 206, 254, 265, 287, 309, 331, 341, 351, 369, 389, 396, 435, 448, 450, 451, 487, 497, 501, 593, 600, 641, 663, 668, 670, 681, 683, 703, 734, 737, 748, 756, 783, 784, 789, 795, 809, 810, 811, 834, 840, 861, 869, 879, 885, 907, 909, 935, 955, 964, 969, 1011, 1048, 1056, 1063, 1079, 1080, 1091, 1094, 1097, 1107, 1110, 1113, 1119, 1140, 1145, 1156, 1158, 1165, 1195, 1232, 1252, 1259, 1261, 1266, 1273, 1286, 1310, 1343, 1345, 1351, 1356, 1366, 1377, 1378]
41	198671.json	[12, 15, 37, 93, 121, 126, 165, 226, 236, 266, 279, 284, 325, 341, 345, 349, 381, 400, 417, 434, 437, 438, 470, 473, 476, 489, 494, 502, 515, 541, 542, 557, 577, 594, 610, 634, 637, 652, 676, 717, 727, 730, 737, 767, 788, 795, 809, 836, 841, 857, 859, 874, 888, 892, 906, 954, 964, 993, 999, 1000, 1026, 1046, 1051, 1054, 1056, 1065, 1086, 1126, 1146, 1151, 1154, 1158, 1159, 1162, 1163, 1164, 1167, 1169, 1186, 1194, 1195, 1201, 1207, 1214, 1220, 1258, 1261, 1286, 1338, 1352, 1373, 1393, 1394]
42	198672.json	[18, 25, 43, 45, 62, 65, 85, 105, 120, 145, 150, 152, 153, 160, 189, 194, 205, 234, 241, 249, 251, 267, 268, 294, 302, 303, 326, 359, 364, 383, 405, 409, 457, 458, 466, 481, 490, 571, 595, 599, 623, 673, 686, 700, 725, 750, 754, 760, 762, 775, 797, 825, 847, 849, 856, 875, 934, 937, 979, 988, 990, 995, 997, 1013, 1015, 1036, 1066, 1083, 1135, 1142, 1174, 1184, 1185, 1187, 1193, 1215, 1221, 1225, 1242, 1277, 1283, 1293, 1301, 1316, 1332, 1371, 1372, 1385, 1389, 1392]
43	198673.json	[14, 15, 93, 96, 113, 146, 147, 158, 165, 226, 265, 271, 287, 319, 321, 341, 351, 384, 389, 420, 434, 450, 468, 475, 488, 489, 494, 497, 502, 515, 541, 557, 578, 594, 600, 616, 652, 657, 698, 708, 717, 734, 737, 783, 784, 795, 809, 810, 837, 879, 892, 893, 906, 932, 942, 945, 954, 958, 964, 1011, 1056, 1078, 1079, 1097, 1114, 1132, 1136, 1156, 1159, 1165, 1167, 1180, 1195, 1199, 1200, 1210, 1220, 1229, 1232, 1252, 1266, 1273, 1286, 1335, 1338, 1345, 1367, 1373, 1377, 1378, 1393]
44	198674.json	[44, 62, 95, 105, 116, 156, 186, 188, 192, 195, 202, 260, 267, 273, 305, 329, 354, 359, 393, 398, 405, 407, 412, 422, 428, 432, 457, 469, 479, 509, 518, 540, 544, 554, 558, 589, 591, 599, 614, 615, 630, 659, 669, 675, 686, 690, 693, 715, 724, 740, 741, 742, 797, 801, 832, 910, 938, 943, 948, 956, 960, 979, 983, 990, 1004, 1005, 1014, 1015, 1031, 1050, 1058, 1081, 1082, 1125, 1137, 1184, 1187, 1197, 1215, 1223, 1265, 1277, 1289, 1305, 1313, 1332, 1354, 1355, 1357, 1387, 1392]
